Counter ID,Counter name,Counting site ID,Counting site name,Counting site installation date,Technical counter ID,Latitude,Longitude
100003096-353242251,97 avenue Denfert Rochereau SO-NE,100003096.0,97 avenue Denfert Rochereau,2012-02-22,X2H20012081,48.83504,2.33314
100003098-101003098,106 avenue Denfert Rochereau NE-SO,100003098.0,106 avenue Denfert Rochereau,2012-02-22,Y2H20114504,48.83507,2.33305
100006300-101006300,135 avenue Daumesnil SE-NO,100006300.0,135 avenue Daumesnil,2013-01-19,X2H18086316,48.843435,2.383378
100007049-102007049,28 boulevard Diderot E-O,100007049.0,28 boulevard Diderot,2013-01-18,Y2H21015011,48.84613,2.37559
100007049-101007049,28 boulevard Diderot O-E,100007049.0,28 boulevard Diderot,2013-01-18,Y2H21015011,48.84613,2.37559
100036718-104036718,39 quai François Mauriac NO-SE,100036718.0,39 quai François Mauriac,2017-07-12,Y2H21015068,48.83436,2.377
100036718-103036718,39 quai François Mauriac SE-NO,100036718.0,39 quai François Mauriac,2017-07-12,Y2H21015068,48.83436,2.377
100036719-104036719,18 quai de l'Hôtel de Ville NO-SE,100036719.0,18 quai de l'Hôtel de Ville,2017-07-12,Y2H21015012,48.85372,2.35702
100036719-103036719,18 quai de l'Hôtel de Ville SE-NO,100036719.0,18 quai de l'Hôtel de Ville,2017-07-12,Y2H21015012,48.85372,2.35702
100041488-101041488,27 boulevard Diderot E-O,100041488.0,27 boulevard Diderot,2013-01-17,Y2H20124971,48.846099,2.375456
100042374-110042374,Voie Georges Pompidou NE-SO,100042374.0,Voie Georges Pompidou,2017-12-15,Y2H21025335,48.84837,2.27596
100042374-109042374,Voie Georges Pompidou SO-NE,100042374.0,Voie Georges Pompidou,2017-12-15,Y2H21025335,48.84837,2.27596
100044493-101044493,67 boulevard Voltaire SE-NO,100044493.0,67 boulevard Voltaire,2018-06-27,Y2H18034809,48.86149,2.37376
100044494-101044494,10 avenue de la Grande Armée SE-NO,100044494.0,10 avenue de la Grande Armée,2018-07-27,Y2H18034808,48.8748,2.2924
100044495-101044495,7 avenue de la Grande Armée NO-SE,100044495.0,7 avenue de la Grande Armée,2018-07-27,Y2H18034806,48.87474,2.29219
100044506-101044506,72 boulevard Voltaire NO-SE,100044506.0,72 boulevard Voltaire,2018-06-27,Y2H18034807,48.86155,2.37407
100047533-101047533,89 boulevard de Magenta NO-SE,100047533.0,89 boulevard de Magenta,2018-11-28,Y2H18086309,48.87756,2.35535
100047534-101047534,16 avenue de la Porte des Ternes E-O,100047534.0,16 avenue de la Porte des Ternes,2018-11-29,Y2H20032437,48.88156,2.28122
100047535-101047535,Pont du Garigliano NO-SE,100047535.0,Pont du Garigliano,2018-11-28,Y2H18086311,48.83994,2.26692
100047536-101047536,102 boulevard de Magenta SE-NO,100047536.0,102 boulevard de Magenta,2018-11-29,Y2H18086312,48.87769,2.35475
100047538-101047538,Face au 16 avenue de la  Porte des Ternes O-E,100047538.0,Face au 16 avenue de la  Porte des Ternes,2018-11-28,Y2H18086314,48.88168,2.28113
100047539-101047539,21 boulevard Auguste Blanqui SO-NE,100047539.0,21 boulevard Auguste Blanqui,2018-12-05,Y2H22114921,48.83074,2.35373
100047540-101047540,72 boulevard Richard Lenoir S-N,100047540.0,72 boulevard Richard Lenoir,2018-12-05,Y2H16110952,48.86077,2.37305
100047541-353326452,Pont National SO-NE,100047541.0,Pont National,2018-12-05,Y2H22053370,48.82639,2.38448
100047542-103047542,Face au 48 quai de la marne NE-SO,100047542.0,Face au 48 quai de la marne,2018-11-29,Y2H18086318,48.89172,2.38531
100047542-104047542,Face au 48 quai de la marne SO-NE,100047542.0,Face au 48 quai de la marne,2018-11-29,Y2H18086318,48.89172,2.38531
100047544-101047544,77 boulevard Richard Lenoir N-S,100047544.0,77 boulevard Richard Lenoir,2018-12-05,Y2I19038116,48.860852,2.372279
100047545-103047545,Face 104 rue d'Aubervilliers N-S,100047545.0,Face 104 rue d'Aubervilliers,2018-11-29,Y2H19070335,48.890457,2.368852
100047545-104047545,Face 104 rue d'Aubervilliers S-N,100047545.0,Face 104 rue d'Aubervilliers,2018-11-29,Y2H19070335,48.890457,2.368852
100047546-104047546,Face au 70 quai de Bercy N-S,100047546.0,Face au 70 quai de Bercy,2018-11-30,Y2H20022165,48.829523,2.38699
100047546-103047546,Face au 70 quai de Bercy S-N,100047546.0,Face au 70 quai de Bercy,2018-11-30,Y2H20022165,48.829523,2.38699
100047547-104047547,6 rue Julia Bartet NE-SO,100047547.0,6 rue Julia Bartet,2018-11-28,Y2H18086323,48.82624,2.30281
100047547-103047547,6 rue Julia Bartet SO-NE,100047547.0,6 rue Julia Bartet,2018-11-28,Y2H18086323,48.82624,2.30281
100047548-103047548,Face au 25 quai de l'Oise NE-SO,100047548.0,Face au 25 quai de l'Oise,2018-11-28,Y2H20083609,48.89141,2.38482
100047548-104047548,Face au 25 quai de l'Oise SO-NE,100047548.0,Face au 25 quai de l'Oise,2018-11-28,Y2H20083609,48.89141,2.38482
100047549-101047549,Pont National NE-SO,100047549.0,Pont National,2018-12-05,Y2H19070364,48.82682,2.38491
100065336-104065336,35 boulevard de Ménilmontant NO-SE,100065336.0,35 boulevard de Ménilmontant,2020-11-18,,48.860528,2.388364
100047551-102047551,Pont du Garigliano SE-NO,100047551.0,Pont du Garigliano,2018-12-01,Y2H18086327,48.83992,2.26708
100049407-353255860,152 boulevard du Montparnasse E-O,100049407.0,152 boulevard du Montparnasse,2018-12-07,Y2H21015072,48.84017,2.33438
100049407-353255859,152 boulevard du Montparnasse O-E,100049407.0,152 boulevard du Montparnasse,2018-12-07,Y2H21015072,48.84017,2.33438
100049408-101049408,10 boulevard Auguste Blanqui NE-SO,100049408.0,10 boulevard Auguste Blanqui,2018-12-06,Y2H18086319,48.83082,2.35317
100050132-101050132,243 boulevard Saint Germain NO-SE,100050132.0,243 boulevard Saint Germain,2018-12-13,Y2H18034810,48.86179,2.32014
,Totem 64 Rue de Rivoli E-O,,,,,,
,Totem 64 Rue de Rivoli O-E,,,,,,
100050876-103050876,Totem 64 Rue de Rivoli Totem 64 Rue de Rivoli Vélos E-O,100050876.0,Totem 64 Rue de Rivoli,2019-09-04,YTH19037970,48.85735,2.35211
100050876-104050876,Totem 64 Rue de Rivoli Totem 64 Rue de Rivoli Vélos O-E,100050876.0,Totem 64 Rue de Rivoli,2019-09-04,YTH19037970,48.85735,2.35211
100056032-101056032,87 avenue de Flandre NE-SO,100056032.0,87 avenue de Flandre,2019-11-05,Y2H19070334,48.88926,2.37472
100056034-101056034,72 avenue de Flandre SO-NE,100056034.0,72 avenue de Flandre,2019-11-13,Y2H19070336,48.889046,2.374872
100056038-101056038,44 avenue des Champs Elysées SE-NO,100056038.0,44 avenue des Champs Elysées,2019-10-30,Y2H19070341,48.86999,2.30743
100056039-101056039,180 avenue d'Italie N-S,100056039.0,180 avenue d'Italie,2019-12-11,Y2H19070342,48.82048,2.35873
100056040-101056040,129 rue Lecourbe SO-NE,100056040.0,129 rue Lecourbe,2019-10-30,Y2H21015067,48.84222,2.30102
100056041-101056041,147 avenue d'Italie S-N,100056041.0,147 avenue d'Italie,2019-12-10,Y2H22125281,48.82009,2.3588
100056042-101056042,33 avenue des Champs Elysées NO-SE,100056042.0,33 avenue des Champs Elysées,2019-10-30,X2H20093888,48.86999,2.30722
100056044-101056044,132 rue Lecourbe NE-SO,100056044.0,132 rue Lecourbe,2019-10-30,Y2H18086315,48.84209,2.30115
100056045-101056045,Pont de la Concorde N-S,100056045.0,Pont de la Concorde,2019-11-08,Y2H20083602,48.86373,2.31973
100056046-101056046,Pont des Invalides S-N,100056046.0,Pont des Invalides,2019-11-06,Y2H21015014,48.86279,2.31055
100056047-101056047,Pont de la Concorde S-N,100056047.0,Pont de la Concorde,2019-11-08,Y2H19070356,48.86382,2.32006
100056223-101056223,Pont des Invalides N-S,100056223.0,Pont des Invalides,2019-11-07,Y2H19070365,48.86281,2.31037
100056225-101056225,3 avenue de la Porte D'Orléans (gare routière) S-N,100056225.0,3 avenue de la Porte D'Orléans (gare routière),2019-11-06,,48.82108,2.32537
